Word	Norwegian-no	Valence	Arousal	Dominance
adipose	adipose	0.333	0.350	0.391
adjacency	tilstøter	0.365	0.417	0.375
adjacent	ved siden av	0.645	0.276	0.536
adjective	adjektiv	0.570	0.316	0.569
adjoining	tilstøtende	0.520	0.400	0.393
adjourn	utsette	0.385	0.456	0.475
adjournment	adjournment	0.438	0.510	0.370
adjudicate	avgjøre	0.559	0.520	0.683
adjudication	pådømmelse	0.551	0.462	0.691
adjunct	medhjelper	0.459	0.440	0.426
adjust	justere	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	justering	0.590	0.520	0.661
adjuvant	adjuvans	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administrere	0.635	0.425	0.860
administration	administrasjon	0.625	0.404	0.786
administrative	administrative	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	beundringsverdig	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	Admiralty	0.594	0.547	0.733
admiration	beundring	0.969	0.583	0.726
admire	beundre	0.867	0.692	0.704
admired	beundret	0.917	0.560	0.815
admirer	beundrer	0.796	0.720	0.650
admiring	beundrer	0.867	0.578	0.629
admissibility	avvisnings	0.802	0.580	0.602
admissible	tillatelig	0.780	0.528	0.642
admission	adgang	0.802	0.415	0.732
admit	innrømme	0.538	0.423	0.667
admittance	adgang	0.690	0.451	0.598
admitted	innrømmet	0.720	0.490	0.767
admitting	bekjenne	0.620	0.500	0.546
admixture	blanding	0.450	0.375	0.438
admonition	formaning	0.357	0.606	0.455
ado	En gjør	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	oppvekst	0.487	0.694	0.444
adolescent	tenåring	0.781	0.680	0.509
adopt	adoptere	0.694	0.612	0.701
adoption	adopsjon	0.625	0.566	0.589
adoptive	adoptiv	0.531	0.469	0.520
adorable	bedårende	0.969	0.519	0.457
adoration	tilbedelse	0.885	0.699	0.708
adore	elsker	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	pryde	0.910	0.424	0.482
adornment	pryd	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	voksen	0.815	0.491	0.787
adulterated	adulterated	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	utroskap	0.120	0.922	0.510
adulthood	voksenlivet	0.541	0.454	0.652
advance	avansere	0.673	0.472	0.858
advanced	avansert	0.844	0.623	0.797
advancement	forfremmelse	0.776	0.650	0.839
advancing	marsj	0.929	0.608	0.812
advantage	fordel	0.917	0.548	0.859
advantageous	fordelaktige	0.837	0.640	0.789
advent	advent	0.665	0.560	0.627
adventure	eventyr	0.917	0.857	0.710
adventurer	eventyrer	0.781	0.839	0.868
adventures	eventyr	0.812	0.764	0.749
adventurous	eventyrlig	0.969	0.898	0.722
adversary	motpart	0.349	0.777	0.457
adverse	uheldig	0.323	0.610	0.385
adversity	motgang	0.276	0.760	0.538
advertise	reklamere	0.500	0.529	0.580
advertisement	annonse	0.600	0.566	0.539
advertising	reklame	0.622	0.608	0.632
adverts	reklame	0.551	0.500	0.595
advice	råd	0.698	0.408	0.688
advisable	tilrådelig	0.867	0.480	0.510
advise	rådgi	0.760	0.393	0.705
advised	rådes	0.823	0.330	0.509
advisement	etterretning	0.698	0.235	0.655
adviser	rådgiver	0.745	0.362	0.705
advisor	rådgiver	0.646	0.350	0.689
advisory	rådgivende	0.656	0.429	0.633
advocacy	beslutningspåvirkning	0.500	0.646	0.731
advocate	advokat	0.551	0.530	0.818
aegis	Aegis	0.490	0.439	0.462
aeration	lufting	0.550	0.500	0.433
aerial	antenne	0.615	0.461	0.463
aerobics	aerobic	0.708	0.771	0.627
aerodrome	flyplass	0.541	0.740	0.678
aerodynamic	aerodynamisk	0.561	0.724	0.728
aerodynamics	aerodynamikk	0.590	0.663	0.722
aeronautics	luftfart	0.551	0.633	0.688
aeroplane	fly	0.714	0.642	0.644
aerospace	luftfart	0.643	0.520	0.779
aesthetic	estetisk	0.708	0.442	0.526
aesthetics	estetikk	0.847	0.327	0.549
aetiology	etiologi	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	omgjengelige	0.704	0.380	0.452
affair	sak	0.520	0.459	0.657
affect	påvirke	0.458	0.569	0.578
affecting	påvirker	0.350	0.574	0.394
affection	kjærlighet	0.898	0.559	0.696
affectionate	kjærlig	0.949	0.422	0.550
affections	hengivenhet	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	erklæring	0.469	0.584	0.526
affiliated	tilknyttet	0.673	0.519	0.535
affiliation	tilhørighet	0.615	0.594	0.500
affinity	affinitet	0.800	0.500	0.537
affirm	bekrefte	0.745	0.509	0.731
affirmation	bekreftelse	0.750	0.500	0.689
affirmative	bekreftende	0.854	0.589	0.816
affirmatively	bekreftende	0.908	0.500	0.811
affix	feste	0.438	0.335	0.411
afflict	plage	0.302	0.555	0.293
afflicted	rammet	0.271	0.500	0.167
affliction	lidelse	0.294	0.635	0.392
affluence	velstand	0.663	0.618	0.722
affluent	velstående	0.756	0.388	0.477
afford	ha råd til	0.571	0.580	0.575
affordable	rimelig	0.840	0.398	0.493
affront	krenkelse	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	et jorde	0.594	0.370	0.373
afire	en brann	0.367	0.904	0.675
afloat	flytende	0.602	0.427	0.444
afore	foran	0.500	0.337	0.382
aforementioned	som tidligere nevnt	0.490	0.316	0.408
aforesaid	nevnte	0.531	0.358	0.478
afraid	redd	0.010	0.775	0.245
afresh	nytt	0.643	0.521	0.480
african	afrikansk	0.490	0.423	0.555
aft	akter	0.480	0.417	0.518
afterlife	livet etter døden	0.571	0.567	0.568
aftermath	kjølvannet	0.312	0.449	0.444
afternoon	ettermiddag	0.533	0.388	0.339
aftershave	etter barbering	0.406	0.384	0.415
aftertaste	smak	0.354	0.362	0.455
afterthought	tanke	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	Agate	0.540	0.377	0.483
age	alder	0.561	0.226	0.498
aged	aldrende	0.135	0.365	0.236
agency	byrå	0.460	0.296	0.583
agenda	dagsorden	0.531	0.296	0.553
agent	middel	0.480	0.439	0.755
agglomeration	tettbebyggelse	0.450	0.765	0.509
aggravate	forverre	0.224	0.770	0.464
aggravated	forverret	0.079	0.760	0.430
aggravates	forverrer	0.108	0.778	0.357
aggravating	irriterende	0.257	0.794	0.640
aggravation	forverring	0.071	0.784	0.613
aggregate	aggregat	0.730	0.378	0.556
aggregation	aggregering	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	aggresjon	0.094	0.929	0.533
aggressive	aggressiv	0.125	0.949	0.648
aggressively	aggressivt	0.250	0.926	0.688
aggressiveness	aggressivitet	0.077	0.913	0.648
aggressor	angriper	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	forferdet	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	smidig	0.800	0.657	0.775
agility	smidighet	0.720	0.702	0.815
aging	aldring	0.214	0.255	0.284
agitate	agitere	0.300	0.796	0.593
agitated	opphisset	0.444	0.882	0.491
agitation	agitasjon	0.240	0.931	0.447
aglow	glødet	0.780	0.510	0.797
agnostic	agnostiker	0.306	0.396	0.574
ago	siden	0.317	0.280	0.404
agonizing	pinefull	0.083	0.800	0.340
agony	smerte	0.083	0.775	0.393
agoraphobia	agorafobi	0.127	0.712	0.438
agree	bli enige	0.906	0.260	0.545
agreeable	behagelig	0.906	0.500	0.696
agreed	avtalt	0.797	0.449	0.574
agreeing	enige	0.854	0.480	0.557
agreement	avtale	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	landbruks	0.686	0.321	0.473
agriculture	jordbruk	0.640	0.357	0.465
aground	grunnstøting	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	fremover	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ohoi	0.500	0.497	0.380
aid	bistand	0.796	0.491	0.541
aide	assistent	0.724	0.342	0.434
aiding	hjelpe	0.643	0.533	0.569
aids	hjelpemidler	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	skrantende	0.094	0.518	0.153
ailment	sykdom	0.146	0.734	0.277
aim	mål	0.481	0.569	0.567
aimless	formålsløs	0.150	0.267	0.183
air	luft	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	luftbårne	0.542	0.519	0.385
aircraft	fly	0.646	0.644	0.691
aircraft carrier	hangarskip	0.490	0.740	0.727
airfield	airfield	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	lufttransport	0.573	0.622	0.642
airline	flyselskap	0.650	0.482	0.688
airliner	passasjerfly	0.667	0.777	0.647
airlock	luftlås	0.398	0.520	0.447
airman	flyver	0.587	0.716	0.721
airplane	fly	0.719	0.702	0.708
airport	flyplassen	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	luftskip	0.542	0.472	0.529
airspace	luftrom	0.562	0.510	0.640
airspeed	flyhastighet	0.583	0.780	0.544
airstrip	flystripe	0.550	0.690	0.649
airtight	luft tett	0.479	0.381	0.570
airway	airway	0.638	0.585	0.482
aisle	hyllerad	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	beslektet	0.639	0.343	0.523
alabaster	alabast	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	vekkerklokke	0.542	0.727	0.642
alarmed	skremt	0.188	0.822	0.492
alarming	foruroligende	0.204	0.890	0.585
alas	akk	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alkymi	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholiker	0.153	0.688	0.361
alcoholism	alkoholisme	0.061	0.779	0.407
alcove	alkove	0.490	0.340	0.356
alderman	oldermann	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	varsling	0.479	0.820	0.648
alertness	årvåkenhet	0.375	0.875	0.750
alerts	varsler	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraisk	0.531	0.412	0.441
algorithm	algoritme	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	romvesen	0.410	0.615	0.491
alienate	fremmedgjøre	0.247	0.500	0.523
alienated	fremmedgjort	0.410	0.423	0.559
alienation	fremmedgjøring	0.378	0.530	0.462
alight	et lys	0.667	0.657	0.605
align	juster	0.656	0.364	0.627
aligned	justert	0.583	0.275	0.553
alignment	Justering	0.643	0.412	0.683
alike	alike	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	underholdsbidrag	0.612	0.477	0.464
aliquot	delmengde	0.440	0.310	0.404
alive	i live	0.816	0.637	0.731
alkali	alkali-	0.490	0.350	0.408
alkaloids	alkaloider	0.433	0.562	0.402
allay	dempe	0.417	0.406	0.398
allegation	påstand	0.578	0.578	0.608
allege	påstår	0.418	0.482	0.587
alleged	påståtte	0.365	0.522	0.520
allegiance	troskap	0.917	0.398	0.750
allegorical	allegorisk	0.517	0.558	0.598
allegory	allegori	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergisk	0.135	0.549	0.273
allergy	allergi	0.296	0.606	0.389
alleviate	lindre	0.869	0.270	0.528
alleviation	lindring	0.735	0.200	0.491
alley	bakgate	0.347	0.500	0.355
alleyway	smau	0.357	0.471	0.382
alliance	allianse	0.696	0.473	0.769
allied	allierte	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	tildele	0.673	0.462	0.672
allocation	tildeling	0.604	0.388	0.679
allot	tildele	0.622	0.481	0.616
allotment	tildeling	0.600	0.390	0.640
allow	tillate	0.698	0.429	0.538
allowable	tillatte	0.698	0.500	0.561
allowance	godtgjørelse	0.673	0.382	0.591
allowed	tillatt	0.730	0.360	0.655
alloy	legering	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	allure	0.804	0.585	0.686
alluring	forlokkende	0.837	0.745	0.843
allusion	hentydning	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	alliert	0.792	0.320	0.688
almanac	almanakk	0.688	0.190	0.412
almighty	allmektig	0.938	0.874	0.958
almond	mandel	0.698	0.183	0.314
aloft	værs	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	alene	0.333	0.167	0.216
alongside	sammen	0.458	0.333	0.347
aloof	reservert	0.189	0.423	0.302
aloud	høyt	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetisk	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	alter	0.724	0.387	0.635
altar boy	altar gutt	0.434	0.206	0.350
alter	endre	0.333	0.694	0.654
alteration	forandring	0.167	0.798	0.609
altercation	krangel	0.170	0.806	0.500
altered	endret	0.255	0.765	0.500
alternate	alternere	0.625	0.363	0.589
alternating	alternerende	0.480	0.494	0.542
alternative	alternativ	0.628	0.373	0.631
altimeter	høydemåler	0.615	0.510	0.580
altitude	høyde	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	helt	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	sammenslåing	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amatør	0.469	0.500	0.409
amaze	forbause	0.896	0.843	0.783
amazed	overrasket	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	undring	0.750	0.800	0.639
amazing	fantastisk	0.906	0.837	0.849
amazingly	utrolig	0.918	0.765	0.920
ambassador	ambassadør	0.651	0.529	0.917
amber	rav	0.635	0.308	0.369
ambience	atmosfære	0.735	0.356	0.426
ambient	omgivende	0.625	0.360	0.582
ambiguity	tvetydighet	0.164	0.460	0.370
ambiguous	tvetydig	0.265	0.462	0.358
ambit	virkeområde	0.479	0.380	0.386
ambition	ambisjon	0.510	0.804	0.661
ambitious	ambisiøs	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulanse	0.500	0.750	0.609
ambush	bakhold	0.281	0.830	0.500
ameliorate	bøte	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	mottagelig	0.448	0.410	0.406
amend	endre	0.688	0.406	0.658
amendment	endringen	0.531	0.459	0.606
amends	bot	0.640	0.366	0.517
amenity	amenity	0.750	0.327	0.574
amethyst	ametyst	0.622	0.406	0.517
amiable	elskverdig	0.847	0.290	0.483
amicable	minnelig	0.875	0.330	0.507
amid	blant	0.510	0.340	0.256
amidst	blant	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammoniakk	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	ammunisjon	0.338	0.635	0.667
amnesia	amnesi	0.296	0.330	0.308
amnesty	amnesti	0.551	0.451	0.814
amorous	amorøs	0.844	0.670	0.636
amorphous	amorft	0.327	0.402	0.349
amortization	amortisering	0.592	0.491	0.522
amount	beløp	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamin	0.133	0.667	0.526
amphibian	amfibier	0.427	0.357	0.474
amphibious	amfibiske	0.479	0.346	0.445
amphitheater	amfi	0.653	0.480	0.545
ample	rikelig	0.744	0.349	0.719
amplification	forsterkning	0.690	0.677	0.810
amplify	forsterke	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	rikelig	0.781	0.431	0.766
amputate	amputere	0.092	0.660	0.509
amputation	amputasjon	0.100	0.755	0.483
amuck	amok	0.385	0.602	0.321
amulet	amulett	0.781	0.260	0.630
amuse	underholde	0.812	0.684	0.664
amused	underholdt	0.942	0.847	0.596
amusement	fornøyelse	0.929	0.837	0.803
amusing	morsomt	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakonda	0.146	0.830	0.540
anaesthesia	anestesi	0.350	0.217	0.473
anaesthetic	anestetisk	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgetikum	0.417	0.321	0.441
analogous	analogt	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analogi	0.510	0.367	0.509
analysis	analyse	0.729	0.448	0.705
analyst	analytiker	0.604	0.415	0.755
analytic	analytisk	0.665	0.521	0.634
analytical	analytisk	0.625	0.324	0.800
analyze	analysere	0.667	0.462	0.710
analyzer	analysator	0.625	0.556	0.854
anaphylactic	anafylaktisk	0.378	0.588	0.500
anarchism	anarkisme	0.125	0.804	0.623
anarchist	anarkist	0.204	0.700	0.759
anarchy	anarki	0.146	0.755	0.620
anastomosis	anastomose	0.375	0.470	0.490
anathema	anathema	0.286	0.490	0.519
anatomic	anatomiske	0.562	0.442	0.546
anatomy	anatomi	0.562	0.390	0.571
ancestor	stamfar	0.592	0.388	0.594
ancestral	doms	0.640	0.481	0.750
